CÓDIGO;NOMBRE DEL ALIMENTO;"Energía
<ENERC>";"Energía
<ENERC>";"Agua
<WATER>";"Proteínas
<PROCNT>";"Grasa 
total
<FAT>";"Carbohidratos
totales
<CHOCDF>";"Carbohidratos
disponibles
<CHOAVL>";"Fibra dietaria
<FIBTG>";"Cenizas
<ASH>";"Calcio
<CA>";"Fósforo
<P>";"Zinc
<ZN>";"Hierro
<FE>";"β caroteno
equivalentes
totales
<CARTBQ>";"Vitamina A 
equivalentes
totales
<VITA>";"Tiamina
<THIA>";"Riboflavina
<RIBF>";"Niacina
<NIA>";"Vitamina C
<VITC>";"Ácido 
fólico";"Sodio
<NA>";"Potasio
<K>"
;;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;µg;mg;mg
A20;Chancay (bizcocho);355;1485;19.4;8.8;6.9;64.4;-;-;0.5;47;108;-;1;-;0;0.11;0.23;1.06;0;-;-;-
A21;Fideo crudo fortificado con hierro;337;1412;12.1;9.4;0.2;77.7;74.5;3.2;0.6;24;150;1.26;5.5;-;0;0.13;0.13;1.5;0;-;-;-
A22;Fideo tallarín crudo fortificado con hierro;305;1274;20.4;9.5;0.1;69.6;66.4;3.2;0.4;40;137;1.26;5.5;-;0;0.12;0.08;1;0;-;-;-
A23;Fideo tallarín sancochado fortiticado con hierro;90;378;75.5;3.1;0;21.3;19.5;1.8;0.1;25;25;0.5;1.35;-;0;0.02;0.04;0.17;0;-;-;-
A24;Galleta de soda (salada);433;1810;4.8;10.1;14.7;68;65;3;2.4;38;134;0.83;1.5;-;0;0.17;0.1;1.17;0;-;-;-
A25;Galleta de vainilla (dulce);434;1814;4.8;6;12.7;74.9;73.8;1.1;1.6;22;665;0.64;0.6;-;0;0.04;0.04;0.5;0;-;-;-
A26;Maíz alazán;346;1449;13.7;8.2;3.7;72.7;-;-;1.7;14;377;-;0.7;-;16;0.32;0.22;2.15;2.5;-;-;-
A27;Maíz alazán, jora fresca de;289;1210;28.1;5.4;2.8;62.3;-;-;1.4;23;275;-;-;-;4;0.28;0.4;3.4;-;-;-;-
A28;Maíz alazán, jora seca de;347;1450;13.8;7;3.6;73.8;-;-;1.8;38;346;-;0.5;-;6;0.38;0.29;3.6;-;-;-;-
A29;Maíz amarillo;355;1486;13.5;6.7;4.8;73.6;-;-;1.4;6;267;1.51;1.92;352;61;0.29;0.06;2.17;0.7;-;-;-
A30;Maíz blanco crudo;343;1437;12.7;5.9;4;76.1;72.9;3.2;1.3;5;249;1.91;1.48;0;1;0.25;0.05;2.26;2.6;-;-;-
A31;Maíz blanco tostado;389;1628;4.6;7.2;4.6;82.1;-;-;1.5;6;270;-;2.6;-;-;0.01;0.01;0.54;0;-;-;-
A32;Maíz cancha tostada de;342;1429;9.5;6.7;2.7;79.8;74.6;5.2;1.3;11;221;0.58;2.7;-;2;0.15;0.34;2.73;9.8;-;-;-
A33;Maíz, chochoca de;349;1462;13;5.2;2.5;78;-;-;1.3;12;190;-;1.5;-;0;0.33;0.11;2.85;0.7;-;-;-
A34;Maíz, grano fresco (choclo);104;437;67.3;3.3;0.8;27.8;25.1;2.7;0.8;8;113;0.45;0.8;-;0;0.14;0.07;1.44;4.8;-;-;-
A35;Maíz, germinado seco;314;1313;22;6.2;3.2;67;-;-;1.6;22;285;-;0.4;-;4;0.28;0.36;3.02;-;-;-;-
A36;Maíz, harina de;326;1366;11.9;8.7;6.5;71.2;61.6;9.6;1.7;64;454;1.73;2;-;0;0.45;0.13;2.25;1.2;-;-;-
A37;Maiz, maicena;365;1529;8.3;0.3;0.1;91.3;90.4;0.9;0.1;2;13;0.06;-;-;1;0;0;0;0;-;-;-
A38;Maíz, morado sin coronta;355;1487;11.4;7.3;3.4;76.2;-;-;1.7;12;328;-;0.2;-;8;0.38;0.22;2.84;2.1;-;-;-
A39;Maíz, mote de (sancochado);103;431;74.5;2.6;1.3;21.1;-;-;0.5;14;78;-;1.2;-;0;0.03;0.09;0.54;0;-;-;-
A40;Maíz, pachuco de;349;1459;13.4;7.3;3.9;73.5;-;-;1.9;89;348;-;3.7;-;5;0.41;0.31;2.87;3.9;-;-;-
A41;Maíz, para mote pelado;349;1461;12.6;5.9;2.1;78.3;-;-;1.1;47;187;-;3.8;-;0;0.16;0.08;2.64;1.9;-;-;-
A42;Maíz, para mote sin pelar;345;1445;12.8;5.7;1.5;78.7;-;-;1.3;9;166;-;4.4;-;0;0.26;0.14;2.63;2.1;-;-;-
A43;Maíz, polenta cruda de;324;1358;13.3;8.3;1.2;74;72.4;1.6;3.2;70;58;0.41;2;-;0;0.09;0.06;4.45;0.9;-;-;-
A44;Maíz, tocosh crudo;192;803;52.7;2.6;2.2;41.3;-;-;1.2;11;44;-;-;-;0;0.02;0.2;1.25;0.8;-;-;-
A45;Pan de cebada (serrano);295;1236;24.4;7.2;0.2;66.2;-;-;2;60;224;-;6.5;-;0;0.3;0.23;6.35;-;-;-;-
A46;Pan de labranza;328;1374;17.3;9.6;0.3;71.8;-;-;1;40;107;-;1.6;-;0;0.13;0.14;1.22;1;-;-;-
A47;Pan de molde;317;1326;20.8;6.8;2.5;69.2;66.8;2.4;0.7;13;60;0.74;0.4;-;0;0.08;0.16;1.22;0;-;-;-
A48;Pan bollo o bollitos de queso de Huancavelica;310;1297;30.3;9.5;7.3;51.7;-;-;1.2;-;-;-;5.29;-;-;1.05;0.34;4.19;-;233;-;-
A49;Pan francés fortificado con hierro;277;1161;27;8.4;0.2;62.9;60.5;2.4;1.5;35;101;0.74;3.14;-;0;0.33;0.26;3.14;1;-;-;-
A50;Quinua, afrecho de;351;1467;14.1;10.7;4.5;65.9;-;-;4.8;573;342;-;4;-;0;0.21;0.22;1;-;-;-;-
A51;Quinua blanca, (Junín);334;1396;12.8;12.5;6.5;66;56;10;2.2;85;155;3.54;3.03;0;0;0.4;0.77;-;0;-;30;776
A52;Quinua blanca (Puno);355;1484;11.1;13.3;6.1;67.1;61.2;5.9;2.4;120;165;2.5;4.31;330;0;0.4;0.24;1.8;0;-;30;776
A53;Quinua cocida;89;372;79;2.8;1.3;16.3;-;-;0.6;27;61;-;1.6;-;-;0.01;0;0.26;0;-;24;472
A54;Quinua;351;1470;11.5;13.6;5.8;66.6;60.7;5.9;2.5;56;242;3.3;7.5;-;0;0.48;0.03;1.4;0.5;-;30;776
A55;Quinua dulce, blanca (Junín);361;1510;11.1;11.1;7.7;67.4;61.5;5.9;2.7;93;355;3.3;4.3;-;0;0.59;0.3;1.23;2.2;-;30;776
A56;Quinua dulce, blanca (Puno);349;1459;11.2;11.6;5.3;68.9;63;5.9;3;115;226;3.3;5.3;-;0;0.73;0.21;1.09;1.1;-;30;776
A57;Quinua dulce, rosada (Junín);360;1506;11;12.3;7.2;67.1;61.2;5.9;2.4;80;344;3.3;4.3;-;0;1;0.3;1.23;1.1;-;30;776
A58;Quinua, harina de;337;1408;11.7;12.4;6;67.2;57.9;9.3;2.8;104;330;5.19;9.65;-;0;0.19;0.24;0.68;-;-;2;913
A59;Quinua, hojuelas de;376;1572;13.4;13.9;7.4;63.1;-;-;2.6;114;60;3.72;5.46;-;0;0.13;0.38;1.1;-;-;-;-
A60;Quinua rosada (Puno);356;1490;10.2;12.5;6.4;67.6;61.7;5.9;3.3;124;205;3.3;5.2;-;0;0.24;0.25;1.6;0;-;30;776
A61;Quinua, sémola de;362;1516;12.6;19.5;10.7;53.8;47.9;5.9;3.4;76;-;3.3;3.6;-;0;0.21;0.25;1.84;0;-;-;-
A62;Sorgo;309;1292;12.2;8;4;72.8;66.5;6.3;3;50;370;-;4.3;-;0;0.25;0.23;3.85;0.9;-;-;-
A63;Trigo, harina fortificada con hierro de;362;1517;10.8;10.5;2;76.3;73.6;2.7;0.4;36;108;0.7;5.5;-;0;0.5;0.4;4.8;1.8;-;-;-
A64;Trigo, llunka de;312;1307;16.1;9.1;1;71.8;-;-;2;60;250;-;1.6;-;0;0.33;0.26;1.95;2;-;-;-
A65;Trigo, harina tostada de (machica);330;1382;9;7.9;1.2;79.9;77.2;2.7;2;67;300;0.7;0.9;-;0;0.1;0.48;2.11;2.7;-;-;-
A66;Trigo, mote de (sancochado);154;644;59;2.5;0.6;37;-;-;0.9;38;118;-;2.5;-;0;0.01;0.07;1.57;0.4;-;26;226
A67;Trigo para mote pelado cocido;63;265;82.9;1.9;0.1;14.7;-;-;0.4;29;45;-;0.4;-;-;0;0;0.73;0;-;26;226
A68;Trigo para mote pelado crudo;325;1359;12.5;9.8;0.9;74.6;-;-;2.2;80;274;-;2.5;-;-;0.18;0.23;4;0.9;-;-;-
A69;Trigo, pelado;330;1379;12.6;8.4;1.4;76.1;-;-;1.5;51;293;-;4.6;-;0;0.22;0.15;3.85;-;-;30;515
A70;Trigo resbalado cocido;83;347;77.9;2.8;0.3;18.6;-;-;0.4;5;66;-;0.5;-;-;0.06;0.02;0.9;0.7;-;26;226
A71;Trigo resbalado crudo;327;1370;13.5;11.4;1.8;71.8;-;-;1.5;17;299;-;4.8;-;-;0.3;0.17;5;4.5;-;30;515
A72;Trigo, sémola de;319;1334;12.1;7.8;1.1;78.4;74.5;3.9;0.6;40;125;1.05;0.8;-;0;0.14;0.08;1.21;0;-;-;-
A73;Trigo;289;1210;11.6;10.3;1.9;74.7;62.5;12.2;1.5;36;314;2.98;3.87;169;28;0.42;0.17;3.89;4.8;-;30;515
A74;Barra de cereales (avena y arrocillo) con maní y pasas;391;1637;8.8;5.8;9.4;74.9;70.9;4;1.2;-;-;-;10.01;-;-;-;-;-;-;-;223;188
A75;Barra de cereales con sabor a chocolate y chocochips;386;1615;6.7;4.9;8.5;78.6;72.4;6.2;1.3;-;-;-;12.12;-;-;-;-;-;-;-;224;120
A76;Barra de cereales (avena, arroz) con aguaymanto;371;1551;8.5;5.3;7.3;77.6;71;6.6;1.3;-;-;-;11.2;-;-;-;-;-;-;-;209;295
A77;Barradecereales(maíz,trigo,arroz)saboramielconleche,vitaminasyminerales;397;1660;6.4;4.4;8.5;79;75.5;3.4;1.6;-;-;-;10.82;-;-;-;-;-;-;-;110;69
A78;Bollito de maíz de Huánuco;426;1781;13.1;9.6;17.5;57.5;-;-;2.4;-;-;-;2.95;-;-;0.39;0.33;2.48;-;195;-;-
A79;Bollito de yema de Huánuco;384;1606;18;9.9;12.6;57.5;-;-;1.9;-;-;-;4.23;-;-;0.72;0.27;3.3;-;165;-;-
A80;Cañihua, harina de;327;1367;10.2;15.2;8.3;63;48.2;14.9;3.3;182;350;5.68;15.2;-;-;-;-;-;-;-;11;1500
A81;Cañihua, variedad roja;381;1594;10.7;15.4;7.5;62.7;-;-;3.7;-;-;-;-;-;-;-;-;-;-;-;-;-
A82;Cañihua, variedad blanca;382;1597;10.7;15.4;7.7;62.5;-;-;3.7;-;-;-;-;-;-;-;-;-;-;-;-;-
A83;Galleta de soda (San Jorge);440;1843;3.9;9.3;13.3;70.8;-;-;2.7;68;-;0.83;7.7;-;0;-;-;-;0;-;-;-
A84;Galleta de vainilla (Field);462;1933;2.7;7.3;15.6;73.1;-;-;1.3;-;-;-;4.4;-;-;-;-;-;-;-;-;-
A85;Galleta dulce con avena y base sabor a chocolate (con fibra);461;1929;2.9;6.7;19.8;69;64.1;4.9;1.6;-;-;-;2.8;-;-;-;-;-;-;-;253;255
A86;Galleta dulce con avena y base sabor a frutos rojos;465;1946;2.7;6.7;20.8;68;62.8;5.1;1.9;-;-;-;2.81;-;-;-;-;-;-;-;330;188
A87;Galleta dulce con avena y granola (con fibra);444;1859;3.2;8;16.9;70.2;65.2;5;1.7;-;-;-;2.56;-;-;-;-;-;-;-;301;207
A88;Galleta dulce con avena, manzana y canela (con fibra);426;1784;3.4;7.2;14.3;73.6;67.4;6.2;1.7;-;-;-;2.01;-;-;-;-;-;-;-;302;196
A89;Galleta dulce con avena y uvas pasas (con fibra);433;1812;3.3;7.2;14.9;73;67.6;5.4;1.7;-;-;-;3.44;-;-;-;-;-;-;-;323;200
A90;Galleta dulce con relleno (Casino);499;2087;1.9;4.7;22;70.5;-;-;0.9;27;-;0.4;5.2;-;0;-;-;-;0;-;-;-
A91;Galleta dulce con relleno “chocolate” (Coronita);492;2058;2.5;5.7;21.1;69.8;-;-;0.9;21;-;0.98;3.7;-;0;-;-;-;0;-;-;-
A92;Galletas nutritivas de maca;443;1854;3;7;16.1;72.2;67.6;4.6;1.7;-;-;-;3.39;-;-;-;-;-;-;-;388;188
A93;Hiwicto marfil oscuro;368;1481;10.6;9;2;76.8;-;-;1.6;44;318;-;3;-;-;0.42;0.1;-;0.6;-;-;-
A94;Hiwicto negro;365;1469;12;9;2.7;74.6;-;-;1.7;38;318;-;3.5;-;-;0.35;0.19;-;0;-;-;-
A95;Kara ceniza o kala;367;1481;10.3;11.6;2.3;73.6;-;-;2.2;104;284;-;5.8;-;-;0;0;-;0;-;-;-
A96;Kara color pajizo;366;1469;11.1;7.2;2.5;76.9;-;-;2.3;60;303;-;8;-;-;0.38;0.1;-;1.1;-;-;-
A97;Kiwicha, harina de;352;1474;10.9;12.2;7.9;66.4;58;8.4;2.6;214;360;3.76;5.3;-;-;-;-;-;-;-;2;663
A98;Kiwicha pop de Huánuco;370;1548;8.6;13.1;8.9;66.5;59.5;7.1;2.9;-;-;-;0.4;-;-;-;-;-;-;-;-;-
A99;Kiwicha, precocida, hojuela de;400;1675;8.4;13.4;8.1;68;-;-;2;-;-;2.77;7.21;-;-;-;-;-;-;-;-;-
A100;Kiwicha, precocida, hojuela de (orgánica);352;1473;10.8;11.9;7.6;67.7;58.9;8.7;2.1;-;-;2.8;5.02;-;0;0;0.09;0.97;3.2;-;-;-
A101;Llipta sara, variedad de maíz;370;1550;11.3;7.4;4.2;75.9;-;-;1.4;5;244;-;1.4;-;-;0.31;0.12;-;0.85;-;-;-
A102;Maíz blanco, harina;343;1435;11.6;5.5;5;76.6;71;5.6;1.3;19;272;1.73;2.35;-;11;0.25;0.08;1.9;0;0;2;6
A103;Maíz blanco precocido, harina de (chochoca);328;1371;12.1;6.8;5.2;74.8;65.9;8.9;1.2;-;-;1.76;2.08;-;-;-;-;-;-;-;-;-
A104;Maíz morado, harina de (api);318;1331;11.4;8.5;4.2;74.3;64.5;9.8;1.7;29;300;2.6;6.47;-;-;-;-;-;-;-;16;63
A105;Pan árabe;290;1213;27.8;10.3;3.5;56.7;54.3;2.4;1.7;-;-;-;6.98;-;-;-;0.32;6.47;-;106;-;-
A106;Pan cachanga;445;1862;17.4;7.7;26.1;47.4;-;-;1.4;-;-;-;3.99;-;-;-;0.27;-;-;-;-;-
A107;Pan campesino de Lima;276;1153;36.1;10;5.7;46;-;-;2.2;-;-;-;3.53;-;-;0.48;0.21;2.46;-;142;-;-
A108;Pan ciabatta;265;1108;32.1;9.2;2;55;52.6;2.5;1.7;-;-;-;5.59;-;-;-;0.71;4.94;-;122;-;-
A109;Pan chapla;321;1343;22.2;9.3;3.5;63.2;-;-;1.9;-;-;-;4.67;-;-;-;0.37;-;-;-;-;-
A110;Pan chuta;387;1620;16.3;9.5;11.1;62.3;-;-;0.8;-;-;-;4.71;-;-;-;0.39;-;-;-;-;-
A111;Pan cortadillo de Cajamarca;361;1509;17.8;6.9;7.1;67.2;-;-;1;-;-;-;4.37;-;-;0.63;0.29;5.49;-;65;-;-
A112;Pan cuay de trigo de Carhuaz;358;1500;23.8;10;11.6;53.4;-;-;1.2;-;-;-;5.62;-;-;-;-;-;-;-;-;-
A113;Pan cuay de trigo de Huaraz;297;1241;31.6;7.6;10.1;48.9;43.8;5.1;1.8;-;-;-;4.45;-;-;0.33;0.34;3.01;-;-;-;-
A114;Pan de calabaza de Huancavelica;274;1148;35.3;11.5;3.9;48.4;-;-;0.9;-;-;-;4.79;-;-;0.61;0.25;3.35;-;322;-;-
A115;Pan de chicharrón de Chiclayo;338;1414;25.5;9.9;9;54.3;-;-;1.2;-;-;-;7.61;-;-;0.84;0.2;4.63;-;288;-;-
A116;Pan de girasol de Lima;267;1115;40.9;10.7;7.7;38.7;-;-;2.1;-;-;-;3.02;-;-;0.45;0.18;2.14;-;139;-;-
A117;Pan de hamburguesa de Iquitos;316;1323;24.4;10.8;4.7;57.7;-;-;2.4;-;-;-;6.15;-;-;0.88;0.46;4.71;-;191;-;-
A118;Pan de huevo;336;1408;23.2;9.3;6.9;59.4;-;-;1.3;-;-;-;5.79;-;-;-;0.35;-;-;-;-;-
A119;Pan de maíz;319;1336;25.4;7.7;8.7;56.7;52.6;4.1;1.6;-;-;-;3.49;-;-;-;0.24;3.81;-;103;-;-
A120;Pan de maíz de Carhuaz;323;1352;27.9;9.2;8;53.5;-;;1.4;-;-;-;5.15;-;-;-;-;-;-;-;-;-
A121;Pan de maíz de Huaraz;359;1501;22;8;15.2;53;47.5;5.5;1.9;-;-;-;3.5;-;-;0.25;0.29;2.96;-;-;-;-
A122;Pan de quinua de Lima;241;1009;39.8;9.5;1.7;47;-;-;2.1;-;-;-;3.31;-;-;0.48;0.21;2.54;-;115;-;-
A123;Pan de trigo artesanal de Carhuaz;286;1197;32.5;8.8;4.6;52.4;-;-;1.7;-;-;-;5.11;-;-;-;-;-;-;-;-;-
A124;Pan de yema;321;1342;25.6;9.4;8.1;55.4;52.5;2.9;1.5;-;-;-;4.47;-;-;-;0.29;4.01;-;70;-;-
A125;Pan de yema de Cajamarca;365;1526;23.7;9.2;12.9;52.9;-;-;1.3;-;-;-;6.74;-;-;1.37;0.5;4.82;-;30;-;-
A126;Pan dulce de Lima;290;1215;32.6;11.9;5;49.5;-;-;1.1;-;-;-;3.3;-;-;0.56;0.42;2.82;-;133;-;-
A127;Pan huaro;338;1413;21.1;9.9;5.5;62.2;-;-;1.3;-;-;-;5.4;-;-;-;0.39;-;-;-;-;-
A128;Pan Huascarán de Lima;265;1111;37.3;9.4;4.8;46.3;-;-;2.3;-;-;-;4.79;-;-;0.6;0.17;1.67;-;111;-;-
A129;Pan integral;339;1419;24.3;9.1;9;55.5;-;-;2.2;-;-;-;5.16;-;-;-;0.4;-;-;-;-;-
A130;Pan marraqueta de Chiclayo;321;1342;21;6.4;2.2;68.9;-;-;1.5;-;-;-;6;-;-;0.92;0.24;5.26;-;219;-;-
A131;Pan mestizo de Huánuco;399;1668;18.1;9.6;15.7;54.8;-;-;1.9;-;-;-;4.24;-;-;0.23;0.28;3.83;-;183;-;-
A132;Pan mishtishongo de Huánuco;410;1715;20.7;9.1;20;48.5;-;-;1.8;-;-;-;2.91;-;-;1.06;0.29;3.05;-;191;-;-
A133;Pan mollete de Chiclayo;284;1189;32.5;10.2;3.8;52.3;-;-;1.3;-;-;-;5.62;-;-;0.88;0.22;3.7;-;244;-;-
A134;Pan mollete, chico;364;1523;25.5;9.6;16.3;47;44.7;2.3;1.6;-;-;-;4.81;-;-;0.41;0.34;4.09;-;-;-;-
A135;Pan torta de Cajamarca;355;1487;19.4;9.4;8;61.5;-;-;1.7;-;-;-;6.31;-;-;1.44;0.45;6.26;-;159;-;-
A136;Pan 3 granos (quinua, cañihua y kiwicha) de Lima;219;914;46.5;8.6;2.5;40.5;-;-;2;-;-;-;3.72;-;-;0.47;0.2;3.56;-;197;-;-
A137;Pan vico;343;1437;24.3;9.3;9.1;56.1;-;-;1.3;-;-;-;5.16;-;-;-;0.42;-;-;-;-;-
A138;Pan vico de Iquitos;333;1394;19.3;11.6;4.1;62.4;-;-;2.5;-;-;-;5.88;-;-;0.7;0.46;4.92;-;230;-;-
A139;Pasta con huevo sin fortificar, cruda*;375;1567;9;14.2;4.4;71.3;68;3.3;1.1;35;241;1.92;1.9;-;17;0.17;0.09;2.1;0;0;21;244
A140;Pasta con huevo fortificada, cruda*;375;1567;9;14.2;4.4;71.3;68;3.3;1.1;35;241;1.92;4.01;-;17;1.13;0.43;8.39;0;201;21;244
A141;Pasta fortificada, cruda*;360;1506;9.9;13;1.5;74.7;71.5;3.2;0.9;18;150;1.26;3.52;-;0;0.89;0.4;7.18;0;219;5;162
